acumulado,vsaparecer,soma,saiu
0,0,199,1
1,0,185,0
1,1,182,1
2,0,197,0
2,1,202,0
2,2,183,0
2,3,215,1
3,0,204,0
3,1,212,0
3,2,170,1
4,0,214,0
4,1,165,1
5,0,176,1
6,0,198,1
7,0,204,0
7,1,207,0
7,2,171,1
8,0,216,1
9,0,191,1
10,0,198,1
11,0,212,1
12,0,148,1
13,0,164,1
14,0,202,1
15,0,169,1
16,0,215,1
17,0,222,1
18,0,191,1
19,0,199,1
20,0,178,1
21,0,209,1
22,0,177,1
23,0,193,1
24,0,184,0
24,1,209,1
25,0,206,1
26,0,189,0
26,1,175,1
27,0,223,1
28,0,192,1
29,0,217,0
29,1,188,1
30,0,201,1
31,0,208,1
32,0,204,1
33,0,191,1
34,0,163,0
34,1,215,0
34,2,209,0
34,3,182,0
34,4,187,1
35,0,206,0
35,1,186,1
36,0,188,1
37,0,162,0
37,1,212,1
38,0,178,0
38,1,195,1
39,0,180,1
40,0,198,0
40,1,209,1
41,0,201,1
42,0,231,0
42,1,176,1
43,0,220,0
43,1,208,1
44,0,216,0
44,1,166,0
44,2,207,0
44,3,181,1
45,0,185,1
46,0,197,0
46,1,194,1
47,0,172,0
47,1,161,0
47,2,197,0
47,3,204,1
48,0,166,0
48,1,210,1
49,0,172,1
50,0,150,0
50,1,192,0
50,2,177,1
51,0,214,0
51,1,185,1
52,0,199,1
53,0,186,0
53,1,179,1
54,0,245,0
54,1,214,0
54,2,212,1
55,0,196,1
56,0,198,0
56,1,215,0
56,2,173,1
57,0,218,1
58,0,227,1
59,0,207,0
59,1,188,1
60,0,188,1
61,0,203,1
62,0,187,0
62,1,172,0
62,2,226,1
63,0,199,0
63,1,172,1
64,0,181,0
64,1,187,1
65,0,208,0
65,1,205,1
66,0,219,0
66,1,184,1
67,0,185,1
68,0,183,1
69,0,185,0
69,1,214,1
70,0,205,1
71,0,206,1
72,0,209,0
72,1,193,0
72,2,184,0
72,3,192,0
72,4,222,0
72,5,203,1
73,0,187,0
73,1,184,1
74,0,175,0
74,1,209,1
75,0,216,0
75,1,187,0
75,2,192,0
75,3,182,1
76,0,192,0
76,1,183,1
77,0,200,1
78,0,187,1
79,0,207,0
79,1,193,0
79,2,220,1
80,0,199,0
80,1,202,0
80,2,188,0
80,3,226,0
80,4,208,1
81,0,204,1
82,0,203,1
83,0,190,0
83,1,199,0
83,2,223,0
83,3,198,1
84,0,189,1
85,0,211,0
85,1,204,0
85,2,170,1
86,0,209,1
87,0,184,1
88,0,188,1
89,0,209,0
89,1,165,1
90,0,196,1
91,0,239,0
91,1,166,0
91,2,188,1
92,0,183,1
93,0,185,1
94,0,201,1
95,0,188,1
96,0,195,0
96,1,169,0
96,2,181,0
96,3,217,0
96,4,181,0
96,5,209,0
96,6,193,0
96,7,186,1
97,0,233,0
97,1,212,0
97,2,204,1
98,0,202,1
99,0,158,0
99,1,198,1
100,0,198,1
101,0,213,1
102,0,203,0
102,1,179,0
102,2,217,0
102,3,240,0
102,4,222,0
102,5,189,0
102,6,181,1
103,0,214,0
103,1,180,1
104,0,172,1
105,0,216,1
106,0,175,1
107,0,219,1
108,0,181,0
108,1,184,1
109,0,173,0
109,1,178,1
110,0,165,1
111,0,217,1
112,0,174,1
113,0,196,1
114,0,199,1
115,0,188,1
116,0,167,1
117,0,174,1
118,0,199,1
119,0,211,1
120,0,190,1
121,0,178,1
122,0,197,0
122,1,200,1
123,0,183,1
124,0,176,0
124,1,167,0
124,2,208,1
125,0,217,1
126,0,242,1
127,0,190,0
127,1,178,0
127,2,208,1
128,0,213,0
128,1,195,1
129,0,216,1
130,0,198,1
131,0,220,1
132,0,201,1
133,0,155,1
134,0,198,0
134,1,218,1
135,0,141,1
136,0,173,1
137,0,236,1
138,0,184,0
138,1,210,0
138,2,203,1
139,0,188,1
140,0,198,1
141,0,213,1
142,0,208,1
143,0,187,0
143,1,197,1
144,0,189,1
145,0,189,0
145,1,185,1
146,0,187,0
146,1,210,1
147,0,184,0
147,1,209,0
147,2,211,1
148,0,185,0
148,1,156,1
149,0,187,1
150,0,183,0
150,1,191,1
151,0,213,1
152,0,212,0
152,1,162,1
153,0,182,0
153,1,196,1
154,0,200,1
155,0,202,0
155,1,208,0
155,2,179,1
156,0,179,1
157,0,207,1
158,0,204,1
159,0,182,1
160,0,192,0
160,1,189,0
160,2,216,0
160,3,192,1
161,0,171,1
162,0,188,0
162,1,223,1
163,0,182,0
163,1,171,0
163,2,197,0
163,3,173,1
164,0,198,0
164,1,184,0
164,2,200,0
164,3,182,1
165,0,184,0
165,1,212,0
165,2,175,1
166,0,166,1
167,0,183,1
168,0,182,1
169,0,195,0
169,1,206,1
170,0,176,0
170,1,216,0
170,2,195,1
171,0,211,1
172,0,177,1
173,0,216,0
173,1,216,0
173,2,206,1
174,0,189,1
175,0,211,0
175,1,212,1
