concurso,acutotal,vsaparecer,somatotal,sorteado
1603,974,0,186,yes
1604,974,1,178,no
1605,974,2,202,no
1606,975,0,192,yes
1607,976,0,160,yes
1608,977,0,196,yes
1609,977,1,221,no
1610,977,2,212,no
1611,978,0,166,yes
1612,978,1,206,no
1613,979,0,161,yes
1614,980,0,182,yes
1615,981,0,173,yes
1616,982,0,188,yes
1617,982,1,191,no
1618,983,0,188,yes
1619,983,1,216,no
1620,984,0,191,yes
1621,984,1,196,no
1622,985,0,203,yes
1623,986,0,159,yes
1624,987,0,191,yes
1625,987,1,211,no
1626,988,0,179,yes
1627,988,1,179,no
1628,989,0,226,yes
1629,990,0,173,yes
1630,990,1,203,no
1631,990,2,197,no
1632,990,3,240,no
1633,991,0,189,yes
1634,991,1,197,no
1635,992,0,219,yes
1636,992,1,193,no
1637,992,2,192,no
